visit_id,cookie_id,page_id,event_type,sequence_number,event_time
ccf365,c4ca42,1,1,1,"2020-02-04 19:16:09"
ccf365,c4ca42,2,1,2,"2020-02-04 19:16:17"
ccf365,c4ca42,6,1,3,"2020-02-04 19:16:58"
ccf365,c4ca42,9,1,4,"2020-02-04 19:16:59"
ccf365,c4ca42,9,2,5,"2020-02-04 19:17:52"
ccf365,c4ca42,10,1,6,"2020-02-04 19:18:12"
ccf365,c4ca42,10,2,7,"2020-02-04 19:19:11"
ccf365,c4ca42,11,1,8,"2020-02-04 19:19:47"
ccf365,c4ca42,11,2,9,"2020-02-04 19:20:45"
ccf365,c4ca42,12,1,10,"2020-02-04 19:20:52"
ccf365,c4ca42,13,3,11,"2020-02-04 19:21:26"
d58cbd,c81e72,1,1,1,"2020-01-18 23:40:55"
d58cbd,c81e72,2,1,2,"2020-01-18 23:41:06"
d58cbd,c81e72,4,1,3,"2020-01-18 23:42:02"
d58cbd,c81e72,4,2,4,"2020-01-18 23:42:02"
d58cbd,c81e72,5,1,5,"2020-01-18 23:42:45"
d58cbd,c81e72,5,2,6,"2020-01-18 23:43:11"
d58cbd,c81e72,7,1,7,"2020-01-18 23:43:26"
d58cbd,c81e72,8,1,8,"2020-01-18 23:43:41"
d58cbd,c81e72,8,2,9,"2020-01-18 23:44:14"
d58cbd,c81e72,10,1,10,"2020-01-18 23:44:22"
d58cbd,c81e72,10,2,11,"2020-01-18 23:45:00"
d58cbd,c81e72,12,1,12,"2020-01-18 23:45:38"
9a2f24,eccbc8,1,1,1,"2020-02-21 03:19:10"
9a2f24,eccbc8,4,1,2,"2020-02-21 03:19:25"
9a2f24,eccbc8,4,2,3,"2020-02-21 03:19:48"
9a2f24,eccbc8,7,1,4,"2020-02-21 03:20:13"
9a2f24,eccbc8,7,2,5,"2020-02-21 03:20:14"
9a2f24,eccbc8,10,1,6,"2020-02-21 03:20:46"
9a2f24,eccbc8,11,1,7,"2020-02-21 03:21:20"
9a2f24,eccbc8,12,1,8,"2020-02-21 03:21:43"
9a2f24,eccbc8,13,3,9,"2020-02-21 03:22:23"
7caba5,a87ff6,1,1,1,"2020-02-22 17:49:38"
7caba5,a87ff6,4,1,2,"2020-02-22 17:50:24"
7caba5,a87ff6,5,1,3,"2020-02-22 17:50:27"
7caba5,a87ff6,5,2,4,"2020-02-22 17:51:18"
7caba5,a87ff6,8,1,5,"2020-02-22 17:51:53"
7caba5,a87ff6,9,1,6,"2020-02-22 17:52:22"
7caba5,a87ff6,9,2,7,"2020-02-22 17:52:56"
f61ed7,e4da3b,1,1,1,"2020-02-01 06:30:40"
f61ed7,e4da3b,2,1,2,"2020-02-01 06:30:51"
f61ed7,e4da3b,4,1,3,"2020-02-01 06:31:07"
f61ed7,e4da3b,8,1,4,"2020-02-01 06:31:30"
f61ed7,e4da3b,9,1,5,"2020-02-01 06:31:45"
f61ed7,e4da3b,9,2,6,"2020-02-01 06:32:39"
f61ed7,e4da3b,10,1,7,"2020-02-01 06:33:33"
f61ed7,e4da3b,10,2,8,"2020-02-01 06:33:41"
f61ed7,e4da3b,11,1,9,"2020-02-01 06:34:27"
f61ed7,e4da3b,12,1,10,"2020-02-01 06:34:49"
f61ed7,e4da3b,13,3,11,"2020-02-01 06:35:38"
e0ce49,167909,1,1,1,"2020-01-25 22:43:21"
e0ce49,167909,2,1,2,"2020-01-25 22:44:13"
e0ce49,167909,5,1,3,"2020-01-25 22:44:36"
e0ce49,167909,5,2,4,"2020-01-25 22:45:14"
e0ce49,167909,6,1,5,"2020-01-25 22:46:07"
e0ce49,167909,8,1,6,"2020-01-25 22:46:57"
e0ce49,167909,9,1,7,"2020-01-25 22:47:07"
e0ce49,167909,9,2,8,"2020-01-25 22:47:26"
e0ce49,167909,10,1,9,"2020-01-25 22:47:49"
e0ce49,167909,11,1,10,"2020-01-25 22:48:14"
e0ce49,167909,11,2,11,"2020-01-25 22:48:43"
e0ce49,167909,12,1,12,"2020-01-25 22:49:14"
e0ce49,167909,13,3,13,"2020-01-25 22:49:37"
8479c1,8f14e4,1,1,1,"2020-02-09 17:27:59"
8479c1,8f14e4,2,1,2,"2020-02-09 17:28:19"
8479c1,8f14e4,9,1,3,"2020-02-09 17:29:04"
8479c1,8f14e4,11,1,4,"2020-02-09 17:29:54"
8479c1,8f14e4,11,2,5,"2020-02-09 17:30:37"
8479c1,8f14e4,12,1,6,"2020-02-09 17:31:24"
8479c1,8f14e4,13,3,7,"2020-02-09 17:31:44"
a6c424,c9f0f8,1,1,1,"2020-02-12 11:23:55"
a6c424,c9f0f8,2,1,2,"2020-02-12 11:24:32"
a6c424,c9f0f8,5,1,3,"2020-02-12 11:25:03"
a6c424,c9f0f8,5,2,4,"2020-02-12 11:25:46"
a6c424,c9f0f8,7,1,5,"2020-02-12 11:26:35"
a6c424,c9f0f8,9,1,6,"2020-02-12 11:27:15"
a6c424,c9f0f8,10,1,7,"2020-02-12 11:28:06"
a6c424,c9f0f8,11,1,8,"2020-02-12 11:28:25"
a6c424,c9f0f8,11,2,9,"2020-02-12 11:29:19"
5ef346,45c48c,1,1,1,"2020-02-07 17:32:45"
5ef346,45c48c,2,1,2,"2020-02-07 17:33:12"
5ef346,45c48c,3,1,3,"2020-02-07 17:33:43"
5ef346,45c48c,4,1,4,"2020-02-07 17:33:45"
5ef346,45c48c,5,1,5,"2020-02-07 17:34:03"
5ef346,45c48c,6,1,6,"2020-02-07 17:34:23"
5ef346,45c48c,11,1,7,"2020-02-07 17:34:35"
d39d35,d3d944,1,1,1,"2020-01-23 21:47:04"
d39d35,d3d944,2,1,2,"2020-01-23 21:47:26"
d39d35,d3d944,3,1,3,"2020-01-23 21:47:33"
d39d35,d3d944,4,1,4,"2020-01-23 21:47:49"
d39d35,d3d944,4,2,5,"2020-01-23 21:48:06"
d39d35,d3d944,6,1,6,"2020-01-23 21:48:57"
d39d35,d3d944,6,2,7,"2020-01-23 21:49:00"
d39d35,d3d944,9,1,8,"2020-01-23 21:49:41"
d39d35,d3d944,9,2,9,"2020-01-23 21:50:39"
d39d35,d3d944,12,1,10,"2020-01-23 21:51:14"
d39d35,d3d944,13,3,11,"2020-01-23 21:51:22"
9c2633,6512bd,1,1,1,"2020-01-17 04:59:43"
9c2633,6512bd,2,1,2,"2020-01-17 05:00:12"
9c2633,6512bd,4,1,3,"2020-01-17 05:00:58"
9c2633,6512bd,4,2,4,"2020-01-17 05:01:06"
